"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04152","hsa04152","AMPK signaling pathway","10/170","117/6944",0.000553332206316639,0.13335306172231,0.126392725021801,"ACACB/ADIPOQ/CAB39L/CD36/CREB3L4/FBP1/IGF1/IGF1R/IRS1/RAB14",10
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","6/170","53/6944",0.00174420393243968,0.142434240334138,0.134999913310801,"ADH1B/ALDH3B2/FMO5/GSTM3/MAOA/UGT2B15",6
"hsa04972","hsa04972","Pancreatic secretion","8/170","92/6944",0.0017730403361096,0.142434240334138,0.134999913310801,"ATP1A2/CLCA2/CPA3/CPB1/ITPR1/KCNMA1/RAB11A/RAB27B",8
"hsa05204","hsa05204","Chemical carcinogenesis","6/170","62/6944",0.00389789351441381,0.234848084243432,0.222590234902052,"ADH1B/ALDH3B2/GSTM3/NAT1/SULT1A1/UGT2B15",6
"hsa04924","hsa04924","Renin secretion","6/170","68/6944",0.00615424469089775,0.241563272146603,0.228954924899816,"AGTR1/CACNA1D/CLCA2/GUCY1A2/ITPR1/KCNMA1",6
"hsa04022","hsa04022","cGMP-PKG signaling pathway","10/170","164/6944",0.00680004228004112,0.241563272146603,0.228954924899816,"ADRA2A/AGTR1/ATP1A2/CACNA1D/CREB3L4/EDNRB/GUCY1A2/IRS1/ITPR1/KCNMA1",10
"hsa04114","hsa04114","Oocyte meiosis","8/170","115/6944",0.00701636060176856,0.241563272146603,0.228954924899816,"AR/CPEB2/CPEB3/IGF1/IGF1R/ITPR1/PGR/RPS6KA6",8
"hsa03320","hsa03320","PPAR signaling pathway","6/170","73/6944",0.00866163108255569,0.26093163636199,0.247312361172972,"ACOX2/ADIPOQ/CD36/FABP4/HMGCS2/SLC27A2",6
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","5/170","54/6944",0.00996105586876273,0.266734940485758,0.252812762984972,"FABP4/IRS1/MGLL/NPY1R/PTGER3",5
"hsa00350","hsa00350","Tyrosine metabolism","4/170","36/6944",0.0110922067414003,0.267322182467748,0.253369353987776,"ADH1B/ALDH3B2/HGD/MAOA",4
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption","4/170","37/6944",0.0122044828718105,0.267389124736939,0.253432802218457,"ATP1A2/IGF1/IRS1/SCNN1A",4
"hsa04931","hsa04931","Insulin resistance","7/170","107/6944",0.0156467066758689,0.314238025740366,0.297836434093293,"ACACB/CD36/CREB3L4/IRS1/PPP1R3C/RPS6KA6/SLC27A2",7
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","6/170","87/6944",0.0194495469635962,0.36056467832513,0.34174507620246,"CPEB2/CPEB3/IGF1/IGF1R/PGR/RPS6KA6",6
"hsa05205","hsa05205","Proteoglycans in cancer","10/170","196/6944",0.021775268512309,0.366479015267926,0.347350715497445,"DCN/ERBB4/ESR1/FRS2/HGF/IGF1/IGF1R/ITPR1/MDM2/VAV3",10
"hsa04930","hsa04930","Type II diabetes mellitus","4/170","45/6944",0.0236926642139985,0.366479015267926,0.347350715497445,"ADIPOQ/CACNA1D/IRS1/SOCS2",4
