"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"hsa03430","hsa03430","Mismatch repair",22,0.694181622255691,1.96465925729374,0.00205338809034908,0.00432962909510752,0.00109380103455348,7578,"tags=49%, list=18%, signal=40%","MSH6/POLD1/RFC3/EXO1/RFC2/MSH2/RPA4/SSBP1/RFC4/SSBP1/RFC3/RPA1/SSBP1/RFC2/LIG1/POLD2/RPA1/RFC3/MSH6"
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",27,0.698411279499835,2.06488417995299,0.00206185567010309,0.00432962909510752,0.00109380103455348,4234,"tags=19%, list=10%, signal=17%","B3GNT5/ST8SIA1/ST8SIA1/GCNT2/ST3GAL6/FUT9/ST3GAL6/B4GALT2/ST3GAL4/GCNT2/FUT4/FUT3/B4GALT1"
"hsa03410","hsa03410","Base excision repair",32,0.647005654137663,1.97778441592311,0.00206185567010309,0.00432962909510752,0.00109380103455348,9892,"tags=42%, list=24%, signal=32%","MUTYH/POLD1/HMGB1/UNG/NEIL3/FEN1/POLE/PARP1/MBD4/FEN1/HMGB1/LIG1/XRCC1/POLD2/POLE3/PARP2/MBD4/HMGB1/LIG3/TDG/NTHL1/APEX1/PARP2/PARP2"
"hsa04392","hsa04392","Hippo signaling pathway - multiple species",28,0.618994393502913,1.8380310795031,0.00206611570247934,0.00432962909510752,0.00109380103455348,7803,"tags=33%, list=19%, signal=27%","TEAD2/WWTR1/TEAD4/RASSF4/WWTR1/TEAD4/TEAD3/RASSF4/SAV1/TEAD2/SAV1/NF2/MOB1A/RASSF1/DCHS2/YAP1/NF2/WTIP/WWTR1/DCHS1/TEAD2/CSNK1E/YAP1/MOB1A/WWC1/NF2/LATS2/NF2"
"hsa04215","hsa04215","Apoptosis - multiple species",30,0.623141052949059,1.87528577189299,0.0020703933747412,0.00432962909510752,0.00109380103455348,7455,"tags=31%, list=18%, signal=25%","BIRC5/BIRC5/BIRC5/BAK1/HTRA2/PMAIP1/BIRC5/BIRC3/BOK/BCL2L11/HTRA2/TNFRSF1A/BIRC3/CYCS/BID/BCL2L11/MAPK8/DIABLO/BCL2L11/SEPTIN4/BCL2L11/BCL2L11/APAF1/CYCS"
"hsa03020","hsa03020","RNA polymerase",29,0.626732608411518,1.87285544937548,0.0020746887966805,0.00432962909510752,0.00109380103455348,6825,"tags=39%, list=16%, signal=32%","ZNRD1/POLR3G/POLR1E/POLR3G/POLR1C/POLR3C/POLR2F/POLR2H/POLR1B/POLR3D/ZNRD1/POLR2I/POLR1E/POLR1A/POLR2D/POLR1D/POLR2C/POLR1C/POLR3C/POLR1D/POLR1E/POLR3H/POLR2C/POLR3A"
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis",41,0.688968478401705,2.23610176749278,0.00208768267223382,0.00432962909510752,0.00109380103455348,8791,"tags=40%, list=21%, signal=32%","VARS/GARS/EPRS/WARS/KARS/EPRS/MARS2/CARS2/DARS/DARS/FARSA/AARS/QRSL1/TARS/WARS2/YARS/TARSL2/WARS/FARSB/CARS/FARSA/AARS2/RARS/SARS2/EPRS/RARS2/YARS/NARS2/CARS/SARS/VARS2/TARS/LARS/CARS/PARS2"
"hsa03440","hsa03440","Homologous recombination",41,0.584005721987193,1.89543682780804,0.00208768267223382,0.00432962909510752,0.00109380103455348,7159,"tags=31%, list=17%, signal=26%","RAD54B/RAD54L/BLM/POLD1/RPA4/SSBP1/RAD51/BARD1/XRCC2/BARD1/SSBP1/RPA1/SSBP1/MUS81/NBN/SEM1/BABAM1/POLD2/RAD52/MRE11/BRIP1/BRCA2/EME1/RPA1/TOP3B/ATM"
"hsa05219","hsa05219","Bladder cancer",41,0.731702705908935,2.3747990876997,0.00208768267223382,0.00432962909510752,0.00109380103455348,4136,"tags=25%, list=10%, signal=22%","CDKN2A/CDKN2A/EGFR/E2F3/EGFR/MYC/VEGFA/MMP9/E2F1/E2F3/TYMP/MMP1/CDK4/EGFR/E2F1/MAP2K2/TYMP/MAPK1/TP53/VEGFA/DAPK1/MAPK1/CXCL8/RASSF1/TP53/DAPK1/NRAS/E2F2"
"hsa05216","hsa05216","Thyroid cancer",37,0.643295959869119,2.03165695054263,0.00210084033613445,0.00432962909510752,0.00109380103455348,5780,"tags=24%, list=14%, signal=21%","TCF7L1/TCF7L2/MYC/TPR/BAK1/RXRB/MAP2K2/MAPK1/TP53/MAPK1/TCF7L2/TP53/TCF7L2/NRAS/TCF7/TCF7L2/TPM3/TPR/TCF7L2/TPM3/TPM3/HRAS/TCF7"
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism",36,0.660141019994318,2.0777454617658,0.00210526315789474,0.00432962909510752,0.00109380103455348,5619,"tags=20%, list=13%, signal=17%","ASNS/ASS1/GLS/CAD/ADSL/GLS/PPAT/GPT2/GOT1/ADSS/GLS/GFPT1/ASRGL1/GAD1/ASNS/ADSL/IL4I1"
"hsa00514","hsa00514","Other types of O-glycan biosynthesis",44,0.568580867129887,1.88420951434553,0.00210526315789474,0.00432962909510752,0.00109380103455348,5126,"tags=23%, list=12%, signal=20%","GALNT14/GALNT3/PLOD3/GALNT13/COLGALT1/C1GALT1/GALNT12/GALNT2/B4GALT2/GALNT13/XXYLT1/GALNT18/GALNT2/RFNG/POFUT1/OGT/GALNT12/GALNT2/B4GALT1/POFUT2/GALNT17/C1GALT1/GALNT2/ST6GAL1"
"hsa03030","hsa03030","DNA replication",36,0.750425840179717,2.36191031400929,0.00210526315789474,0.00432962909510752,0.00109380103455348,9236,"tags=59%, list=22%, signal=46%","MCM5/MCM7/MCM7/MCM2/MCM5/MCM4/MCM6/RNASEH2A/POLD1/MCM4/RFC3/POLA2/RFC2/MCM4/RPA4/RNASEH1/SSBP1/MCM3/RFC4/FEN1/POLE/SSBP1/RFC3/RNASEH2B/RPA1/SSBP1/RFC2/FEN1/LIG1/DNA2/POLD2/POLE3/RPA1/RFC3/MCM4/PRIM2/POLA2/PRIM2/RNASEH1/RFC5/RNASEH1"
"hsa03050","hsa03050","Proteasome",42,0.623246805379102,2.03008108920608,0.00210526315789474,0.00432962909510752,0.00109380103455348,11275,"tags=57%, list=27%, signal=41%","PSME4/PSMB2/PSMB8/PSMB4/PSMC4/IFNG/PSMB6/PSMB9/PSMA7/PSMD8/ADRM1/PSMA4/PSMB10/PSMB5/PSMD13/PSMA7/PSME4/PSMA1/SEM1/PSMD13/PSMB7/PSMD4/PSMB2/PSMC2/PSMB2/PSME3/PSMD11/PSMD1/PSMD7/PSMB4/PSMA5/PSMD1/PSMD2/PSMA1/PSMA1/PSMB4/PSMA3/PSME3/PSME3/PSMD4/PSMD6/PSMD14/PSMC3"
"hsa04216","hsa04216","Ferroptosis",39,0.581876193273478,1.8616147591776,0.00210526315789474,0.00432962909510752,0.00109380103455348,7763,"tags=34%, list=19%, signal=27%","CP/ATG5/ACSL4/ATG7/SLC11A2/CP/SLC39A14/TP53/SLC7A11/VDAC2/ATG5/SLC7A11/FTL/CYBB/TF/SLC39A8/TP53/CP/ACSL6/SAT1/SLC11A2/PRNP/ACSL5/GCLM/STEAP3/FTL/CP/PCBP2/GCLM/TFRC/TFRC/SAT2/SLC3A2/SAT1/SLC39A8"
"hsa04940","hsa04940","Type I diabetes mellitus",39,0.582057872566128,1.86219601143803,0.00210526315789474,0.00432962909510752,0.00109380103455348,7266,"tags=29%, list=17%, signal=24%","GZMB/HLA-G/HLA-E/HLA-F/HLA-G/HLA-DOB/HLA-B/HLA-B/HSPD1/IFNG/HLA-F/HLA-A/HLA-A/HLA-E/HLA-F/HLA-B/ICA1/HLA-C/HLA-C/CD86/GAD1/LTA/HLA-C/HLA-C/HLA-DQB1/FASLG/HLA-DQB1/TNF/HLA-E/HLA-DQA1"
