"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04110","hsa04110","Cell cycle","12/98","122/6944",1.13788910501137e-07,2.1506104084715e-05,1.88051146828196e-05,"BUB1/BUB1B/CCNB2/CDC20/CDK6/CDKN2A/E2F3/MCM5/ORC1/PTTG1/SKP2/TTK",12
"hsa05206","hsa05206","MicroRNAs in cancer","11/98","161/6944",1.45333316452843e-05,0.00137339984047936,0.00120091214121559,"CDK6/CDKN2A/E2F3/EGFR/EZH2/FSCN1/GLS/KIF23/SERPINB5/SHC4/SOX4",11
"hsa01230","hsa01230","Biosynthesis of amino acids","6/98","68/6944",0.000366028728957202,0.0230598099243037,0.020163687875888,"ASNS/ASS1/CBS/PFKP/PHGDH/PSAT1",6
"hsa05214","hsa05214","Glioma","6/98","74/6944",0.000578789392895997,0.0273477988143359,0.0239131407064925,"CALML5/CDK6/CDKN2A/E2F3/EGFR/SHC4",6
"hsa05225","hsa05225","Hepatocellular carcinoma","8/98","157/6944",0.00160512284666308,0.0606736436038643,0.053053534089706,"CDK6/CDKN2A/E2F3/EGFR/FZD9/SHC4/TCF7L1/TCF7L2",8
"hsa04915","hsa04915","Estrogen signaling pathway","7/98","128/6944",0.00211402794265014,0.065998232429135,0.0577093984481993,"CALML5/EGFR/GABBR2/KRT14/KRT16/KRT23/SHC4",7
"hsa05230","hsa05230","Central carbon metabolism in cancer","5/98","67/6944",0.00244437897885685,0.065998232429135,0.0577093984481993,"EGFR/GLS/LDHB/PFKP/SLC7A5",5
"hsa04115","hsa04115","p53 signaling pathway","5/98","71/6944",0.00315267703135348,0.0744819948657259,0.06512767025296,"CCNB2/CDK6/CDKN2A/GTSE1/SERPINB5",5
"hsa05224","hsa05224","Breast cancer","7/98","143/6944",0.00393889801189449,0.0827168582497844,0.0723283026745539,"CDK6/E2F3/EGFR/FZD9/SHC4/TCF7L1/TCF7L2",7
"hsa00270","hsa00270","Cysteine and methionine metabolism","4/98","48/6944",0.00451271429579077,0.0852903001904455,0.0745785415199106,"CBS/LDHB/PHGDH/PSAT1",4
"hsa04934","hsa04934","Cushing syndrome","7/98","151/6944",0.00530584883814956,0.0897344821748165,0.0784645708796781,"CDK6/CDKN2A/E2F3/EGFR/FZD9/TCF7L1/TCF7L2",7
"hsa04310","hsa04310","Wnt signaling pathway","7/98","153/6944",0.00569742743967089,0.0897344821748165,0.0784645708796781,"DKK1/FZD9/MMP7/SFRP1/TCF7L1/TCF7L2/VANGL2",7
"hsa05223","hsa05223","Non-small cell lung cancer","4/98","66/6944",0.0137914849399238,0.187586853177423,0.164027490664747,"CDK6/CDKN2A/E2F3/EGFR",4
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","3/98","36/6944",0.0138953224575869,0.187586853177423,0.164027490664747,"ASNS/ASS1/GLS",3
"hsa05226","hsa05226","Gastric cancer","6/98","144/6944",0.015836774222772,0.190051041847588,0.166182197549827,"E2F3/EGFR/FZD9/SHC4/TCF7L1/TCF7L2",6
