"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","blue","GO:0098687","chromosomal region","93/826","337/18678",2.94547744023269e-48,1.46684776523588e-45,1.00766333481645e-45,"65057/9212/332/641/699/701/891/113130/55143/983/1017/81620/1062/1063/64946/2491/64105/91687/79019/55839/79682/387103/1111/11200/64858/1763/1786/79075/79980/54821/157570/2146/2237/2332/54433/3070/55355/81930/11004/57082/90417/9735/4085/4171/4172/4173/4175/4176/4361/4436/55226/23310/64151/10403/54820/4751/83540/57122/23279/79023/11339/23595/142/5111/84295/5347/5591/5888/55920/9401/55183/9025/6117/81929/151648/151246/221150/8243/9126/79677/10615/147841/57405/54908/6839/79723/9984/57187/8563/7272/56897/55055/11130",93
"14","blue","GO:0030496","midbody","30/826","171/18678",9.04766952310918e-11,3.21838530179169e-09,2.21089668797781e-09,"54443/259266/6790/9212/332/55143/983/1062/1063/55165/1894/11104/9928/10112/9493/24137/136647/55226/4751/23636/5347/9055/84722/29127/55920/9025/79801/10615/6683/51646",30
"19","blue","GO:0018995","host","17/826","69/18678",5.50743580860985e-09,1.37135151634385e-07,9.42061388314842e-08,"2332/3838/55706/57122/9972/9631/23279/23165/23225/79023/10762/23636/4927/9688/8480/81929/7153",17
"20","blue","GO:0043657","host cell","17/826","69/18678",5.50743580860985e-09,1.37135151634385e-07,9.42061388314842e-08,"2332/3838/55706/57122/9972/9631/23279/23165/23225/79023/10762/23636/4927/9688/8480/81929/7153",17
"29","blue","GO:1905368","peptidase complex","16/826","72/18678",7.46401409307203e-08,1.25324469588993e-06,8.60926920659963e-07,"10939/56943/5683/5684/5686/5688/5695/5717/5718/10213/5708/5713/23198/9352/51377/9097",16
"31","blue","GO:0042555","MCM complex","7/826","11/18678",9.11069866550524e-08,1.46358965658762e-06,1.00542514984353e-06,"4171/4172/4173/4175/4176/84515/79892",7
"38","blue","GO:1905369","endopeptidase complex","14/826","62/18678",3.94217237686508e-07,5.16632064126002e-06,3.5490471536874e-06,"5683/5684/5686/5688/5695/5717/5718/10213/5708/5713/23198/9352/51377/9097",14
"44","blue","GO:0090734","site of DNA damage","13/826","65/18678",4.38094156937609e-06,4.92551186027224e-05,3.38362154848548e-05,"79000/115004/157570/4361/142/5888/55159/55183/51444/9025/6117/79677/8914",13
"45","blue","GO:0120114","Sm-like protein family complex","16/826","96/18678",4.45076372916167e-06,4.92551186027224e-05,3.38362154848548e-05,"8487/50628/79833/23658/11157/10465/10946/6627/6628/6629/6632/6635/6636/6637/11171/96764",16
"56","blue","GO:1905348","endonuclease complex","8/826","28/18678",1.99591356856619e-05,0.000177493742347493,0.000121930810109777,"26523/27161/10940/10775/10248/10799/54931/79042",8
"61","blue","GO:0045171","intercellular bridge","11/826","59/18678",4.73585893306088e-05,0.000386632417813823,0.00026560037156942,"8317/55143/55165/2949/9657/10112/9493/24137/5584/9984/22974",11
"64","blue","GO:1905354","exoribonuclease complex","7/826","24/18678",5.76307305656536e-05,0.000448439122213992,0.00030805900384601,"23404/51010/56915/11340/5393/87178/6832",7
"101","brown","GO:0030667","secretory granule membrane","50/723","293/18678",5.96108470820364e-19,2.40231713740607e-16,1.85107367254745e-16,"10257/101/976/161/10396/719/728/929/11314/952/963/160364/1536/79930/2207/2212/2215/2357/11010/53831/84329/3683/3684/3687/3689/3903/27074/10184/10288/4033/3071/51365/5724/5788/5873/326624/5906/5912/387/54509/6402/140885/6515/6518/6793/374403/7097/340061/7133/7305",50
"102","brown","GO:0098552","side of membrane","48/723","359/18678",5.78235601435868e-14,1.16514473689327e-11,8.97786854860954e-12,"1636/100/1230/1234/929/9332/914/940/920/969/9308/925/3627/4283/1540/9267/1605/2035/2213/2219/2242/2760/2769/3055/3113/3115/3119/3120/3122/3383/29851/3560/3561/3575/3684/3689/3824/3902/120892/5027/26191/5778/5788/64926/5996/387/51311/7412",48
"126","brown","GO:0043235","receptor complex","33/723","292/18678",3.71070802901067e-08,5.75159744496654e-07,4.43181728161194e-07,"54518/929/919/915/917/920/925/926/1439/53831/3588/3594/8809/3560/3566/3570/3683/3684/3687/3689/3824/23643/4067/10062/6386/22941/8631/6850/7096/7097/51284/7133/50852",33
"131","brown","GO:0061702","inflammasome complex","7/723","13/18678",1.77087283291228e-07,2.30213468278596e-06,1.77387940818038e-06,"9447/22900/834/837/58484/114548/29108",7
"149","brown","GO:0032994","protein-lipid complex","7/723","39/18678",0.000659447072442692,0.00542361571825316,0.00417909530334252,"341/348/8542/274/4481/7941/5360",7
"150","brown","GO:0002102","podosome","6/723","29/18678",0.000729747977194696,0.00588176869618925,0.0045321190162618,"101/83706/64147/3936/9404/7412",6
"151","brown","GO:0062023","collagen-containing extracellular matrix","29/723","399/18678",0.000909893563235066,0.00718994325458297,0.00554011560690081,"8728/27299/311/348/712/713/714/5199/1508/1075/1512/1514/1520/1522/1605/25975/84034/2219/10875/3383/3574/4318/6275/9672/5265/1992/5272/7052/7076",29
"152","grey","GO:0005759","mitochondrial matrix","176/3784","448/18678",6.98305953019623e-21,4.93702308784873e-18,3.80760509120173e-18,"10449/27034/37/50/23597/51205/80221/84532/50808/205/160428/7915/501/84266/506/513/4287/587/10295/622/57805/118487/8192/80347/84274/1373/1593/728294/1666/200895/22907/1738/124454/1892/1632/2108/23474/22868/2230/2232/2235/80308/2309/2653/85476/2744/2806/80273/2936/373156/60558/3029/11112/26275/7923/3313/55699/3418/3419/3420/81689/51110/23395/11019/51601/9361/27349/56922/4191/4285/166785/326625/4594/4357/124995/65003/6182/64928/63875/29074/51069/219927/29093/79590/51264/64983/9553/64981/64979/51253/64978/54148/51073/64975/28977/84311/740/54534/122704/128308/78988/3396/65005/64960/51021/51116/64949/28957/10884/51650/65993/51081/80298/130916/92170/26164/441024/79731/55739/128240/4705/4701/51103/4720/4722/374291/9054/4833/349565/4521/318/53343/4942/5018/5019/25973/5106/8050/5165/54704/55066/57107/5303/10531/5442/152926/10935/25824/5831/57038/25996/54938/9997/54949/57001/135154/6464/91689/6647/51657/6821/79736/7019/51106/117145/116447/7157/57570/55006/51095/26995/7263/7284/7417/10352/51067",176
"163","grey","GO:0070469","respiratory chain","36/3784","88/18678",7.5811847170945e-06,0.000347113285882908,0.000267705921368788,"1355/4513/1337/1349/192286/4536/4541/4694/4705/126328/4695/4696/4700/4701/4702/51103/4707/4716/54539/4710/4711/4715/4720/4722/374291/4723/4729/4731/23530/5018/135154/6834/54902/790955/10975/7386",36
"170","grey","GO:0048475","coated membrane","35/3784","86/18678",1.15598094968831e-05,0.000430146595489283,0.000331744117417477,"8906/8907/10053/130340/163/1173/26985/10947/11154/57132/27243/128866/1211/1212/1314/9276/22820/26958/22818/205428/1759/58513/3092/23285/59349/83988/10016/553115/132320/57410/9632/11276/23423/57617/65082",35
"172","grey","GO:0005925","focal adhesion","114/3784","397/18678",3.03274885812643e-05,0.000939334568488269,0.000724447713060259,"87/84962/58504/8874/120534/55616/527/682/811/823/824/8573/867/977/960/966/928/998/1000/11261/1266/57175/8895/1464/1466/1499/2017/55827/51164/1785/1948/55740/1969/51466/7430/11170/2195/54751/2261/2317/10211/2319/23767/54914/2580/2768/2783/7184/3309/3313/3315/10525/3673/3655/3728/8462/3845/8649/89782/4008/5604/23164/9019/4627/5819/4810/5034/11252/10298/29780/5094/5170/5216/5297/5329/8500/5479/5500/5501/157285/5576/58497/5747/5782/23011/5962/25996/390/6141/6143/6160/6181/6205/6209/6193/6251/6278/29843/30011/6522/6641/8470/6840/23224/117143/26136/7089/7408/7414/7431/8936/79038/7739/7791",114
