"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","blue","GO:0140097","catalytic activity, acting on DNA","33/804","152/16969",1.30225483685547e-13,8.25629566566368e-11,7.03217611901954e-11,"10973/641/83990/1677/1763/1786/1789/2071/54821/9156/64789/2237/348654/8930/4173/4175/4176/4361/55247/5111/5422/23649/10721/25788/8438/9401/8607/6832/83940/55775/7153/56652/7374",33
"2","blue","GO:0008094","DNA-dependent ATPase activity","22/804","72/16969",1.03998621151078e-12,3.29675629048917e-10,2.80796277107911e-10,"10973/641/83990/1763/79075/2071/54821/4173/4175/4176/4361/10721/5888/25788/9401/5982/5983/5984/5985/8607/7153/7516",22
"3","blue","GO:0140098","catalytic activity, acting on RNA","42/804","268/16969",7.19173264728933e-12,1.51985283279381e-09,1.29451187651208e-09,"16/27161/283/54901/23019/51692/1662/8886/9188/10436/2058/9156/23404/51010/56915/5393/10056/2237/113802/3376/81875/92935/87178/9533/5433/10940/10775/10248/80324/25788/10247/6038/10799/6832/6897/96764/54802/55621/54931/116461/23318/10785",42
"6","blue","GO:0003682","chromatin binding","51/804","437/16969",2.5348950377145e-09,2.67853908985165e-07,2.28140553394305e-07,"83990/84733/113130/983/81620/1063/115004/10036/8208/1164/27000/1786/1789/9156/2146/2332/51053/3015/3065/3066/10473/5927/84515/79892/8028/4436/2956/4774/7468/11051/23636/9768/5111/5422/10721/5888/5933/9025/8243/9126/6742/6749/6839/7068/90381/7153/8805/29089/29128/8725/7443",51
"8","blue","GO:0004518","nuclease activity","28/804","171/16969",8.62801195353408e-09,6.83769947317576e-07,5.8239080686355e-07,"27161/283/23019/51692/64858/1677/1763/9156/64789/23404/51010/56915/5393/2237/348654/81875/8930/4361/87178/10940/10775/10248/10247/6038/10799/83940/55775/116461",28
"10","blue","GO:0042393","histone binding","28/804","174/16969",1.27977104286289e-08,8.11374841175071e-07,6.91076363145959e-07,"55723/29117/84733/8208/7913/27000/2332/55355/55705/221656/5927/4171/8028/2956/22823/4678/9918/23310/54892/26147/84295/23198/9025/139886/8805/29128/7443/11091",28
"12","blue","GO:0017056","structural constituent of nuclear pore","8/804","14/16969",5.71482693768061e-08,3.01933356540792e-06,2.57167212195627e-06,"55706/57122/9972/23279/23165/4927/9688/65109",8
"14","blue","GO:0000217","DNA secondary structure binding","9/804","23/16969",5.16128491469883e-07,2.33732473994218e-05,1.99078132424098e-05,"641/348654/3148/3149/4436/2956/55247/9401/7516",9
"18","blue","GO:0140101","catalytic activity, acting on a tRNA","17/804","99/16969",3.68893029237239e-06,0.000127525535677823,0.000108617964141994,"16/54901/2058/10056/3376/92935/10940/10775/10248/80324/10799/6897/54802/55621/54931/116461/10785",17
"25","blue","GO:0016741","transferase activity, transferring one-carbon groups","25/804","201/16969",9.99739337094625e-06,0.000253533895887197,0.000215943696812439,"57019/51805/1786/1789/9718/8726/399818/10436/2146/2618/113802/23463/92342/55471/7468/10196/56950/6839/79723/96764/55621/54931/7298/10785/11091",25
"40","blue","GO:0140034","methylation-dependent protein binding","11/804","66/16969",0.000249035581516661,0.00394721396703907,0.00336198035047492,"84733/2332/5927/2956/22823/23310/54892/26147/139886/29128/11091",11
"42","blue","GO:0051536","iron-sulfur cluster binding","10/804","57/16969",0.000307372076192257,0.00453195107688119,0.00386002142194927,"83990/54901/57019/55847/1763/64789/51022/4719/5422/5471",10
"43","blue","GO:0051540","metal cluster binding","10/804","57/16969",0.000307372076192257,0.00453195107688119,0.00386002142194927,"83990/54901/57019/55847/1763/64789/51022/4719/5422/5471",10
"46","blue","GO:0035173","histone kinase activity","5/804","14/16969",0.000330012021126871,0.00454842655205297,0.00387405416105458,"9212/983/1017/1111/7443",5
"50","blue","GO:0016874","ligase activity","16/804","134/16969",0.000605692932799622,0.0076801863878992,0.00654148367423591,"16/440/1503/2058/10056/2618/8833/3376/92935/4522/8883/10606/5096/6897/150465/10054",16
"51","blue","GO:0140030","modification-dependent protein binding","16/804","135/16969",0.000657641017140909,0.00817538048759483,0.0069632578285508,"29117/84733/27000/2332/5927/2956/22823/23310/54892/26147/23198/139886/83932/8805/29128/11091",16
"56","brown","GO:0004896","cytokine receptor activity","23/694","78/16969",3.38680702978657e-14,2.16416969203362e-11,1.69340351489329e-11,"1230/729230/1234/1236/9034/920/1240/1439/2833/7852/10663/3459/3588/3594/3601/8809/7850/50615/3560/3561/3566/3570/3575",23
"57","brown","GO:0005126","cytokine receptor binding","35/694","210/16969",1.17053358180804e-12,3.73985479387669e-10,2.9263339545201e-10,"841/6357/6363/6347/6351/6352/729230/9034/146722/8837/1435/3627/6373/10563/4283/51752/3458/3594/3600/3606/3553/3557/3570/3574/3717/4050/29108/6386/10019/6772/6850/8741/10673/944/6375",35
